num_threads,keys,value_size,rdbcompression,rdbchecksum,actual_throughput_mb_s,rdb_file_size_bytes,load_duration_seconds,avg_cpu_percent,avg_memory_rss_bytes,total_disk_read_bytes,total_disk_write_bytes,cpu_user_time_seconds,cpu_system_time_seconds,memory_rss_bytes_final,status,flamegraph_generated
1,50.0,300,yes,yes,185.31485850127402,16000084883,86.34,83.10289017341042,9672907213.68786,15950004224,4096,49.35,23.08,18842271744,ok,False
2,50.0,300,yes,yes,392.65939145479535,16000084883,40.748,140.72926829268295,9526358265.756098,15918940160,0,39.54,18.79,18851794944,ok,False
3,50.0,300,yes,yes,408.82246679612643,16000084883,39.137,232.2594936708861,9476257558.683544,15956951040,4096,74.37,18.1,18852069376,ok,False
4,50.0,300,yes,yes,410.6903381246952,16000084883,38.959,324.7354430379747,9620807991.088608,16000086016,4096,111.4,17.46,18852261888,ok,False
6,50.0,300,yes,yes,412.03350028327145,16000084883,38.832,501.2435897435898,9662517615.589743,15888531456,4096,178.35,19.12,18860904448,ok,False
8,50.0,300,yes,yes,414.78936286099446,16000084883,38.574,695.825641025641,9635623594.666666,15990243328,0,254.33,18.05,18857889792,ok,False
10,50.0,300,yes,yes,416.64717678766726,16000084883,38.402,869.6662337662337,9525015591.896105,15848423424,0,320.49,18.2,18857754624,ok,False
15,50.0,300,yes,yes,394.3918973354038,16000084883,40.569,1343.6926829268293,9501181002.926828,15996534784,0,533.26,19.07,18863140864,ok,False
1,50.0,300,no,yes,195.71973053211008,16000087971,81.75,80.66951219512195,9649803888.390244,15964160000,4096,48.49,18.2,18842378240,ok,False
2,50.0,300,no,yes,424.3379825757173,16000087971,37.706,133.39736842105265,9436140597.894737,15932047360,4096,35.76,15.53,18856009728,ok,False
3,50.0,300,no,yes,410.03787629737826,16000087971,39.021,233.70000000000002,9629255965.164557,16000090112,0,75.78,17.08,18855931904,ok,False
4,50.0,300,no,yes,407.5209610055524,16000087971,39.262,324.44177215189876,9596531673.113924,15910289408,4096,111.89,17.42,18856210432,ok,False
6,50.0,300,no,yes,395.4935725479533,16000087971,40.456,512.5975609756098,9599430106.536585,16000090112,4096,191.27,19.57,18852577280,ok,False
8,50.0,300,no,yes,401.1454638469638,16000087971,39.886,702.76875,9519839180.8,15867035648,4096,264.28,19.83,18857541632,ok,False
10,50.0,300,no,yes,392.13979635802167,16000087971,40.802,888.119512195122,9530100361.365854,15897968640,0,347.5,19.7,18853376000,ok,False
15,50.0,300,no,yes,403.05534350202777,16000087971,39.697,1332.205,9570168627.2,15942008832,0,517.01,19.0,18858639360,ok,False
