threads,keys,value_size,rdbcompression,rdbchecksum,actual_throughput_mb_s,rdb_file_size_bytes,load_duration_seconds,avg_cpu_percent,avg_memory_rss_bytes,total_disk_read_bytes,total_disk_write_bytes,cpu_user_time_seconds,cpu_system_time_seconds,memory_rss_bytes_final,status,flamegraph_generated
1,50.0,500,no,yes,205.0969693381715,26000142803,126.77,77.47716535433071,14897307502.866142,25965477888,4096,65.1,33.87,29161259008,ok,False
2,50.0,500,no,yes,394.4794841905629,26000142803,65.91,142.90075757575758,14773495776.969696,25861799936,4096,65.87,29.16,29174824960,ok,False
3,50.0,500,no,yes,396.86391920810814,26000142803,65.514,239.51212121212123,14715715459.878788,26000146432,4096,129.21,29.5,29170724864,ok,False
4,50.0,500,no,yes,410.894050018174,26000142803,63.277,333.5314960629921,14648720537.19685,25911083008,4096,184.1,28.9,29183492096,ok,False
6,50.0,500,no,yes,406.9962713554466,26000142803,63.883,529.69296875,14667654048.0,25863372800,0,309.38,31.88,29176246272,ok,False
8,50.0,500,no,yes,403.36564589345,26000142803,64.458,723.8922480620155,14663711212.155039,25844760576,4096,438.45,31.99,29180964864,ok,False
10,50.0,500,no,yes,402.33574428609006,26000142803,64.623,918.1376923076923,14878880752.246155,25983434752,0,563.97,34.38,29180870656,ok,False
15,50.0,500,no,yes,362.4066850145659,26000142803,71.743,1410.19375,14412229262.222221,25940705280,0,982.1,37.05,29177524224,ok,False
